linenumber,pac_name,first_name,middle_name,last_name,suffix,address_one,address_two,city,state,zip,amount,date,purpose
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,17538.69,11/26/13,DIRECT MAIL - POSTAGE
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,14208.91,12/12/13,DIRECT MAIL - POSTAGE
SB21B,BASE CONNECT INC,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,7391.56,12/12/13,DIRECT MAIL - CREATIVE
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,7000,12/19/13,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA SYSTEMS CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,3593.38,12/12/13,DATA PROCESSING
SB21B,DONOR BUREAU,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,817.84,12/19/13,DONOR LIST ENHANCEMENT
SB21B,DONOR BUREAU,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,730.4,12/12/13,DONOR LIST ENHANCEMENT
SB21B,CAPITOL CAGING LLC,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,700,11/20/13,OPEN PO BOX
SB21B,CAPITOL CAGING LLC,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,700,12/23/13,OPEN PO BOX
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,7880.71,1/9/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,5297.55,1/30/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,2209.65,1/9/14,DIRECT MAIL - POSTAGE
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,2120,1/9/14,LIST RENTALS
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,199,1/31/14,BANK CHARGE
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,199,1/30/14,BANK CHARGE
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,16557.13,2/25/14,DIRECT MAIL - POSTAGE
SB21B,BASE CONNECT INC,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,8861.86,2/12/14,DIRECT MAIL - CREATIVE
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,8061.98,2/12/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,4045.25,2/7/14,DIRECT MAIL - POSTAGE
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,3981.47,2/12/14,DIRECT MAIL - LIST RENTALS
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,3847.34,2/25/14,DIRECT MAIL - POSTAGE
SB23,TIM SCOTT FOR SENATE,,,,,1405 ASHLEY RIVER RD,,CHARLESTON,SC,29407,3500,2/12/14,POLITICAL CONTRIBUTION
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,3221.7,2/25/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,3204.3,2/25/14,DIRECT MAIL - LIST RENTALS
SB22,VIGOP - TERRITORIAL COMMITTEE,,,,,PO BOX 295,,CHRISTIANSTED,VI,821,2299.68,2/27/14,TRANSFER
SB21B,CENTURY DATA SYSTEMS CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,1067.73,2/25/14,DATA PROCESSING
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,1041.58,2/25/14,DIRECT MAIL - LIST RENTALS
SB21B,CAPITOL CAGING LLC,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,766.15,2/27/14,CAGING SERVICES
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,530.47,2/12/14,DIRECT MAIL - LIST RENTALS
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,507.13,2/10/14,MERCHANT SERVICE CHARGE
SB21B,CAPITOL CAGING LLC,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,440.65,2/25/14,CAGING SERVICES
SB21B,SIMPKINS ESCROW SERVICES LLC,,,,,29*243 ST JUST DR,,UNIONVILLE,VA,22567,368.85,2/27/14,ESCROW SERVICES
SB21B,SIMPKINS ESCROW SERVICES LLC,,,,,29*243 ST JUST DR,,UNIONVILLE,VA,22567,346.92,2/12/14,ESCROW SERVICES
SB21B,COAST TO COAST STRATEGIES LLC,,,,,555 - 12TH STREET NW,SUITE 630,WASHINGTON,DC,20004,287.49,2/27/14,CONSULTING - FUNDRAISING
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,111.75,2/5/14,SERVICE CHARGE
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,84.08,2/3/14,SERVICE CHARGE
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,52.35,2/10/14,MERCHANT SERVICE CHARGE
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,35.5,2/5/14,CUSTOM CREDIT BILLING
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,29.75,2/3/14,SERVICE CHARGE
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,7627,3/27/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,7086.79,3/27/14,DIRECT MAIL - POSTAGE
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,7005.18,3/6/14,DIRECT MAIL - POSTAGE
SB21B,BASE CONNECT INC,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,6053.7,3/6/14,DIRECT MAIL - CREATIVE
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,5928.93,3/20/14,DIRECT MAIL - POSTAGE
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,5221.38,3/13/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA MAILING SERVICES,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,4239.58,3/13/14,DIRECT MAIL - POSTAGE
SB21B,CONSOLIDATED MAILING SERVICES,,,,,504 SHAW RD,SUITE 504,STERLING,VA,20166,4069.66,3/20/14,DIRECT MAIL - PRINTING & MAILSHOP
SB21B,CENTURY DATA SYSTEMS CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,2609.93,3/6/14,DATA PROCESSING
SB23,SHANNON FOR SENATE,,,,,PO BOX 18182,,OKLAHOMA CITY,OK,73154,2500,3/28/14,POLITICAL CONTRIBUTION
SB22,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),,,,,PO BOX 295,,CHRISTIANSTED,VI,821,2344.84,3/13/14,TRANSFER TO TERRITORIAL CMTE
SB22,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),,,,,PO BOX 295,,CHRISTIANSTED,VI,821,1695.02,3/27/14,TRANSFER TO TERRITORIAL CMTE
SB22,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),,,,,PO BOX 295,,CHRISTIANSTED,VI,821,1587.46,3/6/14,TRANSFER TO TERRITORIAL CMTE
SB21B,MACKENZIE & COMPANY,,,,,2776 S ARLINGTON MILL DR,#806,ARLINGTON,VA,22206,1544.8,3/13/14,CONSULTING - COMPLIANCE
SB29,ASHLEY BELL FOR STATE SUPERINTENDENT,,,,,PO BOX 2616,,GAINESVILLE,GA,30503,1000,3/20/14,POLITICAL CONTRIBUTION
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,915,3/13/14,DIRECT MAIL - LIST RENTALS
SB21B,DONOR BUREAU,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,823.24,3/6/14,DIRECT MAIL - LIST ENHANCEMENT
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,704.04,3/20/14,DIRECT MAIL - LIST RENTALS
SB21B,DONOR BUREAU,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,680.68,3/27/14,DIRECT MAIL - LIST ENHANCEMENT
SB21B,DONOR BUREAU,,,,,1900 N CULPEPPER ST,,ARLINGTON,VA,22207,575.33,3/13/14,DIRECT MAIL - LIST ENHANCEMENT
SB21B,FIRST VIRGINIA COMMUNITY BANK,,,,,11325 RANDOM HILLS DRIVE #806,,FAIRFAX,VA,22040,436.37,3/10/14,MERCHANT SERVICE CHARGE
SB21B,SIMPKINS ESCROW SERVICES LLC,,,,,29*243 ST JUST DR,,UNIONVILLE,VA,22567,351.01,3/13/14,ESCROW SERVICES
SB21B,LEGACY LIST MANAGEMENT CORP,,,,,1155 - 15TH STREET,SUITE 410,WASHINGTON,DC,20005,327.11,3/13/14,DIRECT MAIL - LIST RENTALS
SB21B,COAST TO COAST STRATEGIES LLC,,,,,555 - 12TH STREET NW,SUITE 630,WASHINGTON,DC,20004,293.16,3/13/14,FUNDRAISING COMMISSION
SB21B,COAST TO COAST STRATEGIES LLC,,,,,555 - 12TH STREET NW,SUITE 630,WASHINGTON,DC,20004,211.89,3/27/14,FUNDRAISING COMMISSION
SB21B,SIMPKINS ESCROW SERVICES LLC,,,,,29*243 ST JUST DR,,UNIONVILLE,VA,22567,206.3,3/27/14,ESCROW SERVICES
